Label ,Type  ,Start  ,End    ,Center ,Avg. ,SEM  ,WAvg. ,WEM  
380NUV,Filter,379.000,381.000,380.000,nan,0.000,0.000,0.000,
450BLU,Filter,410.000,510.000,460.000,0.491,0.000,0.000,0.002,
486HIB,Line  ,485.000,486.000,485.500,0.778,0.000,0.000,0.010,
501OIII,Line  ,496.000,502.000,499.000,0.386,0.000,0.000,0.004,
550GRN,Filter,480.000,570.000,525.000,0.530,0.000,0.000,0.001,
650RED,Filter,610.000,685.000,647.500,nan,0.000,0.000,0.000,
650RED-A,Filter,620.000,670.000,645.000,nan,0.000,0.000,0.000,
656HIA--,Line  ,636.000,646.000,641.000,nan,0.000,0.000,0.000,
656HIA-,Line  ,649.000,652.000,650.500,nan,0.000,0.000,0.000,
656HIA,Line  ,655.000,657.000,656.000,nan,0.000,0.000,0.000,
656HIA+,Line  ,661.000,664.000,662.500,nan,0.000,0.000,0.000,
656HIA++,Line  ,666.000,676.000,671.000,nan,0.000,0.000,0.000,
658NII--,Line  ,638.000,648.000,643.000,nan,0.000,0.000,0.000,
658NII-,Line  ,649.000,652.000,650.500,nan,0.000,0.000,0.000,
658NII,Line  ,657.000,659.000,658.000,nan,0.000,0.000,0.000,
658NII+,Line  ,663.000,666.000,664.500,nan,0.000,0.000,0.000,
658NII++,Line  ,668.000,678.000,673.000,nan,0.000,0.000,0.000,
672SII,Line  ,671.000,673.000,672.000,nan,0.000,0.000,0.000,
685NIR,Filter,685.000,1050.000,867.500,nan,0.000,0.000,0.000,
685-742,Filter,685.000,742.000,713.500,nan,0.000,0.000,0.000,
714ArIII,Line  ,713.000,715.000,714.000,nan,0.000,0.000,0.000,
742NIR,Filter,742.000,1050.000,896.000,nan,0.000,0.000,0.000,
742-807,Filter,742.000,807.000,774.500,nan,0.000,0.000,0.000,
775ArIII,Line  ,774.000,775.000,774.500,nan,0.000,0.000,0.000,
807NIR,Filter,807.000,1050.000,928.500,nan,0.000,0.000,0.000,
889CH4,Filter,888.000,890.000,889.000,nan,0.000,0.000,0.000,
907SIII,Line  ,906.000,908.000,907.000,nan,0.000,0.000,0.000,
953SIII,Line  ,952.000,954.000,953.000,nan,0.000,0.000,0.000,
