Label ,Type  ,Start  ,End    ,Center ,Avg. ,SEM  ,WAvg. ,WEM  
380NUV,Filter,379.000,381.000,380.000,0.024,0.000,0.000,0.001,
450BLU,Filter,410.000,510.000,460.000,0.683,0.000,0.000,0.001,
486HIB,Line  ,485.000,486.000,485.500,0.869,0.000,0.000,0.013,
501OIII,Line  ,496.000,502.000,499.000,0.915,0.000,0.000,0.004,
550GRN,Filter,480.000,570.000,525.000,0.932,0.000,0.000,0.001,
650RED,Filter,610.000,685.000,647.500,0.651,0.000,0.000,0.001,
650RED-A,Filter,620.000,670.000,645.000,0.659,0.000,0.000,0.002,
656HIA--,Line  ,636.000,646.000,641.000,0.680,0.000,0.000,0.004,
656HIA-,Line  ,649.000,652.000,650.500,0.628,0.000,0.000,0.007,
656HIA,Line  ,655.000,657.000,656.000,0.634,0.000,0.000,0.012,
656HIA+,Line  ,661.000,664.000,662.500,0.582,0.000,0.000,0.005,
656HIA++,Line  ,666.000,676.000,671.000,0.561,0.000,0.000,0.003,
658NII--,Line  ,638.000,648.000,643.000,0.668,0.000,0.000,0.004,
658NII-,Line  ,649.000,652.000,650.500,0.628,0.000,0.000,0.007,
658NII,Line  ,657.000,659.000,658.000,0.589,0.000,0.000,0.003,
658NII+,Line  ,663.000,666.000,664.500,0.575,0.000,0.000,0.005,
658NII++,Line  ,668.000,678.000,673.000,0.555,0.000,0.000,0.002,
672SII,Line  ,671.000,673.000,672.000,0.559,0.000,0.000,0.005,
685NIR,Filter,685.000,1050.000,867.500,0.155,0.000,0.000,0.000,
685-742,Filter,685.000,742.000,713.500,0.382,0.000,0.000,0.001,
714ArIII,Line  ,713.000,715.000,714.000,0.394,0.000,0.000,0.005,
742NIR,Filter,742.000,1050.000,896.000,0.108,0.000,0.000,0.000,
742-807,Filter,742.000,807.000,774.500,0.200,0.000,0.000,0.000,
775ArIII,Line  ,774.000,775.000,774.500,0.206,0.000,0.000,0.004,
807NIR,Filter,807.000,1050.000,928.500,0.080,0.000,0.000,0.000,
889CH4,Filter,888.000,890.000,889.000,0.042,0.000,0.000,0.000,
907SIII,Line  ,906.000,908.000,907.000,0.021,0.000,0.000,0.000,
953SIII,Line  ,952.000,954.000,953.000,0.003,0.000,0.000,0.000,
